Time(s),Control 1,IP10 1,Control 2,IP10 2,Control 3,IP10 3,Control 4,IP10 4
3,60924,33108,65965,40702,18165,7720,20645,8656
10,61476,33336,66677,40463,18639,7958,20894,8850
17,61566,33611,67112,40870,18510,8118,20960,8998
24,61685,33476,66884,40912,18375,8048,21102,8992
31,61942,33625,66857,40595,18706,8054,20723,9075
38,61808,33397,66873,40523,18594,8111,20794,9015
45,61705,33267,66652,40845,18455,8116,20845,9094
52,62028,33142,66599,40219,18427,8183,20977,9017
59,61854,33387,65919,40158,18477,8107,20553,9045
66,62131,33362,66233,40362,18606,8086,20732,9036
73,61816,33295,66049,39963,18280,8247,20753,8899
80,61813,33011,65914,39892,18342,8138,20766,8976
87,62164,33357,65904,40023,18376,8106,20599,9063
94,62158,33134,65658,39934,18294,8037,20498,8925
101,62128,33017,65579,39861,18452,8085,20478,9120
108,61828,33017,65357,39846,18352,8000,20433,8977
115,62087,32889,64946,39685,18075,8155,20483,9057
122,62220,32906,65276,39849,18134,8098,20522,8978
129,62014,32899,65062,39345,18230,8179,20503,9045
136,62072,32711,65125,39654,18329,8188,20465,8972
143,62095,32885,64745,39512,18117,7957,20513,8942
150,61957,32915,64749,39585,18255,8003,20494,8965
157,62325,32713,64790,39532,18060,8146,20463,8989
164,62135,32849,64564,39588,17968,8027,20359,8989
171,62182,32761,64199,39261,17935,8135,20360,8929
178,62251,32848,64335,39215,17962,7954,20586,8963
185,61937,32742,64193,39285,18037,8068,20436,8977
192,62382,32538,63829,39204,17995,8033,20457,9019
199,61910,32664,63891,39351,18024,8051,20367,9006
206,62004,32692,63846,38960,17954,7973,20412,9015
213,62141,32525,63387,39239,17967,8112,20336,8981
220,61658,32472,63381,38869,17928,8048,20315,9011
227,62253,32501,63278,38841,17880,7954,20165,9075
234,61882,32150,63229,38705,18095,7880,20335,9016
241,62176,32134,63109,38889,17969,7929,20209,9038
248,61866,32380,63241,38893,18111,8056,20069,8968
255,61818,32170,63159,38770,18056,8010,20288,9058
262,61849,32470,63047,38632,17748,8051,20386,8968
269,61596,32259,62549,38895,18001,7991,20283,8881
276,61371,32224,62466,38831,17891,8048,20187,8985
283,61968,32191,62860,38825,17957,8022,20282,8941
290,61858,32225,62532,38593,17884,7836,20354,9026
297,61590,32023,62597,38606,17840,7988,20423,8841
