"FattyAcid","pval","ajdusted_pval"
"1","Total",0.22622942447387,0.47320064330097
"2","X12.0",NA,NA
"3","X14.0",0.367597459917488,0.47320064330097
"4","X15.0",0.346301927117068,0.47320064330097
"5","X16.0",0.273660062175765,0.47320064330097
"6","X16.1",0.344408138822971,0.47320064330097
"7","X17.0",0.280992688622218,0.47320064330097
"8","X17.1",0.330200629111169,0.47320064330097
"9","X18.0",0.306480530849804,0.47320064330097
"10","X18.1",0.38691629002839,0.47320064330097
"11","X18.2",0.203756274672881,0.47320064330097
"12","X18.3.N3",0.349809669592591,0.47320064330097
"13","X18.3.N6",0.521818775832159,0.599125261140626
"14","X18.4",NA,NA
"15","X20.0",0.171658685912511,0.47320064330097
"16","X20.1",0.561810789455984,0.600556361142604
"17","X20.2",0.136073773578144,0.47320064330097
"18","X20.3.N3",0.288731567491194,0.47320064330097
"19","X20.3.N6",0.209457739441081,0.47320064330097
"20","X20.3.N9",0.029136121954702,0.438565500157043
"21","X20.4",0.119530231815958,0.47320064330097
"22","X20.5",0.108958538090649,0.47320064330097
"23","X22.0",0.35539755208146,0.47320064330097
"24","X22.1",0.966869964474672,0.966869964474672
"25","X22.2",0.546344265354024,0.600556361142604
"26","X22.3",NA,NA
"27","X22.4",0.0424418225958429,0.438565500157043
"28","X22.5.N3",0.0376340650892352,0.438565500157043
"29","X22.5.N6",0.11907856221864,0.47320064330097
"30","X22.6",0.189176175115064,0.47320064330097
"31","X23.0",0.349809669592591,0.47320064330097
"32","X24.0",0.396877958897588,0.47320064330097
"33","X24.1",0.645575937021341,0.667095134922053
"34","X26.0",0.347726566527745,0.47320064330097
